Size,PriceTotal,Deposit,OnlineSince,Adress,AmountofIcons,AmountofIconsNeeded,Titel_length,analysis_det,analysis_desr,analysis_desl,analysis_deso
13,700,300,1.0,3,10,0,67,0.0,-0.9451,0.0,0.0
17,1000,2000,1.0,3,8,3,42,0.0,-0.1779,-0.636,-0.8316
20,307,400,1.0,4,9,0,34,0.0,-0.8715,-0.9661,-0.5994
13,925,1500,1.0,2,12,5,130,0.0,-0.9039,-0.9619,0.0
35,749,0,1.0,4,6,0,52,0.0,0.9431,0.0,0.0
35,749,0,1.0,4,6,3,52,0.0,0.9431,0.0,0.0
13,650,1300,1.0,4,11,3,59,0.0,0.0,0.0,0.0
18,400,0,1.0,4,7,2,84,0.0,0.0,-0.8316,0.4588
15,630,1260,1.0,4,13,0,54,0.4588,-0.9623,0.9844,-0.2525
124,1231,1846,168.0,2,3,0,27,0.0,-0.636,0.0,-0.9545
17,930,0,24.0,3,4,0,59,0.0,-0.9761,0.0,0.0
83,965,1447,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
22,1170,0,24.0,2,4,0,68,0.0,-0.9769,0.0,0.0
18,1035,1552,1.0,4,2,0,38,0.0,0.1697,0.0,0.3094
22,950,1980,1.0,2,2,0,27,0.0,0.1697,0.0,0.3094
20,970,1455,1.0,4,2,0,38,0.0,0.1697,0.0,0.3094
17,900,1980,1.0,2,2,0,27,0.0,0.1697,0.0,0.3094
15,850,1700,1.0,4,2,0,24,0.0,0.1697,0.0,0.3094
12,800,1760,1.0,2,2,0,27,0.0,0.1697,0.0,0.3094
15,795,1580,1.0,3,2,0,23,0.0,0.1697,0.0,0.3094
14,790,1580,1.0,2,2,0,28,0.0,0.1697,0.0,0.3094
13,750,1590,1.0,1,2,0,20,0.0,0.1697,0.0,0.3094
12,699,1590,1.0,3,2,0,23,0.0,0.1697,0.0,0.3094
10,699,1498,1.0,3,2,0,24,0.0,0.1697,0.0,0.3094
19,1020,2000,1.0,4,12,0,110,0.0,0.1739,0.9517,0.8618
17,865,2400,1.0,4,10,6,84,0.4588,-0.9758,0.0,-0.9136
15,804,0,1.0,2,10,5,32,0.0,-0.636,-0.8777,0.0
12,740,300,1.0,1,12,3,11,0.0,0.0,-0.8126,0.0
22,890,1500,1.0,2,11,0,51,0.0,-0.7003,0.5904,0.4588
20,250,500,1.0,4,11,4,82,0.0,-0.9349,-0.636,-0.8439
16,800,1000,1.0,2,8,3,32,0.4588,-0.5994,0.0,0.9524
12,800,1600,1.0,2,12,5,85,0.0,-0.9892,0.0,-0.5994
15,1050,0,24.0,2,4,0,68,0.0,-0.9769,0.0,0.0
83,965,1447,168.0,2,3,0,27,0.0,0.0,0.0,-0.9545
105,1095,1642,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
0,1160,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
11,840,0,24.0,2,4,0,70,0.0,-0.9761,0.0,0.0
163,1170,1755,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
15,640,1350,1.0,2,10,0,52,0.0,0.9936,0.0,0.0
21,950,1900,1.0,2,12,5,154,0.0,-0.9892,0.0,-0.5994
12,690,1400,1.0,2,9,0,55,0.0,-0.8439,-0.8316,0.75
11,880,2190,1.0,2,11,7,143,0.0,-0.9485,0.0,0.0
18,850,800,1.0,2,12,6,46,0.4588,0.5499,0.9729,0.9296
25,880,1780,1.0,1,11,5,88,0.0,-0.9947,0.0,-0.5994
16,850,1500,1.0,2,11,4,34,0.4588,0.296,0.0,0.6124
25,1050,2880,1.0,2,9,0,26,0.0,-0.88,0.0,0.0
12,695,0,1.0,1,3,2,32,0.0,-0.5994,0.0,0.0
30,1450,4350,1.0,4,10,0,76,0.0,-0.8591,-0.743,-0.9719
8,700,0,1.0,2,4,3,47,0.0,-0.0258,0.0,0.0
13,820,2340,1.0,3,5,3,30,0.0,-0.6705,0.8436,0.7184
20,889,889,1.0,1,10,0,50,0.0,-0.992,0.0,0.0
20,680,1350,1.0,83623,10,0,56,0.0,-0.9887,-0.9726,0.4588
14,897,2463,1.0,4,13,4,90,0.4588,-0.9713,0.0,-0.8316
35,570,0,1.0,12345,9,0,45,0.0,-0.7906,0.0,0.0
27,500,0,1.0,12345,10,0,85,0.0,0.0,0.0,0.0
9,1140,0,192.0,2,4,0,76,0.0,-0.9661,0.0,0.0
177,1010,1515,168.0,3,3,0,27,0.0,0.0,0.0,-0.9545
103,1160,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
0,1160,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
92,1064,1596,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
14,960,0,24.0,4,4,0,73,0.0,-0.9828,0.0,0.0
20,870,1000,1.0,3,10,5,55,0.0,0.5267,-0.9136,0.0
14,880,1800,1.0,4,11,0,19,0.0,0.2263,-0.9661,-0.9229
15,890,1400,1.0,2,11,5,19,0.0,-0.5423,0.0,0.0
13,500,500,1.0,3,12,0,19,0.0,-0.8126,0.0,-0.8126
18,550,1100,1.0,85375,9,0,75,0.0,-0.9196,0.0,0.0
12,300,150,1.0,3,10,0,51,0.0,-0.9854,-0.4215,-0.9721
22,890,2000,1.0,1,11,8,62,0.4588,-0.1531,0.0,0.0
14,680,0,1.0,2,1,3,51,0.0,0.4588,0.0,0.0
14,490,490,1.0,2,10,0,69,0.0,-0.978,-0.5423,-0.5994
14,476,500,1.0,3,8,0,53,0.0,-0.7717,-0.8316,0.0
14,780,500,1.0,2,11,2,31,0.0,-0.2263,0.4588,-0.9648
16,650,0,1.0,3,10,0,30,0.0,-0.8126,-0.8316,0.0
11,544,1158,1.0,1,10,3,40,0.0,-0.9186,0.0,-0.765
14,850,2000,1.0,3,4,3,38,0.0,-0.9062,-0.8316,-0.3818
21,730,850,1.0,4,8,3,35,0.0,0.4404,-0.9357,0.0
14,800,300,1.0,3,9,0,25,0.0,-0.5994,0.0,0.0
12,910,1500,1.0,3,12,3,80,0.0,-0.9509,-0.4215,-0.8658
